language	passage_name	text	ipa	n_phones	n_syllables
ENG	P3	Christmas order department please. I wish to place an order for ten boxes of Christmas crackers, five boxes of mixed biscuits, and three large Christmas cakes. The address for delivery is Dr Barnado's Home, 16 Treasure Island Road. Can you guarantee delivery by 23rd December? I should be grateful if you would not disclose who placed the order.	['kɹɪsməs', 'ɔːdə', 'dɪpɑːtmənt', 'pliːz', 'aɪ', 'wɪʃ', 'tuː', 'pleɪs', 'an', 'ɔːdə', 'fɔː', 'tɛn', 'bɒksɪz', 'ɒv', 'kɹɪsməs', 'kɹakəz', 'faɪv', 'bɒksɪz', 'ɒv', 'mɪkst', 'bɪskɪts', 'and', 'θɹiː', 'lɑːdʒ', 'kɹɪsməs', 'keɪks', 'ðə', 'ɐdɹɛs', 'fɔː', 'dɪlɪvəɹi', 'ɪz', 'dɒktə', 'həʊm', 'sɪkstiːn', 'tɹɛʒə', 'aɪlənd', 'ɹəʊd', 'kan', 'juː', 'ɡaɹəntiː', 'dɪlɪvəɹi', 'baɪ', 'twɛntiθɹiəd', 'dɪsɛmbə', 'aɪ', 'ʃʊd', 'biː', 'ɡɹeɪtfəl', 'ɪf', 'juː', 'wʊd', 'nɒt', 'dɪskləʊz', 'huː', 'pleɪst', 'ðə', 'ɔːdə']	248	88
ENG	P8	Last night I opened the front door to let the cat out. It was such a beautiful evening that I wandered down the garden for a breath of fresh air. Then I heard a click as the door closed behind me. I realised I'd locked myself out. To cap it all, I was arrested while I was trying to force the door open!	['last', 'naɪt', 'aɪ', 'əʊpənd', 'ðə', 'fɹʌnt', 'dɔː', 'tuː', 'lɛt', 'ðə', 'kat', 'aʊt', 'ɪt', 'wɒz', 'sʌtʃ', 'eɪ', 'bjuːtifəl', 'iːvnɪŋ', 'ðat', 'aɪ', 'wɒndəd', 'daʊn', 'ðə', 'ɡɑːdən', 'fɔː', 'eɪ', 'bɹɛθ', 'ɒv', 'fɹɛʃ', 'eə', 'ðɛn', 'aɪ', 'hɜːd', 'eɪ', 'klɪk', 'az', 'ðə', 'dɔː', 'kləʊzd', 'bɪhaɪnd', 'miː', 'aɪ', 'ɹiəlaɪzd', 'lɒkt', 'maɪsɛlf', 'aʊt', 'tuː', 'kap', 'ɪt', 'ɔːl', 'aɪ', 'wɒz', 'ɐɹɛstɪd', 'waɪl', 'aɪ', 'wɒz', 'tɹaɪɪŋ', 'tuː', 'fɔːs', 'ðə', 'dɔː', 'əʊpən']	208	75
ENG	P9	I've always found it difficult to sleep on long train journeys in Britain. For one thing, I can never make myself comfortable in the seat. Then the other passengers usually talk so loudly, or worse still they snore. In addition, there's the constant clickety-click of the wheels on the track. If I do manage to doze off the ticket inspector comes along and wakes me.	['ɔːlweɪz', 'faʊnd', 'ɪt', 'dɪfɪkəlt', 'tuː', 'sliːp', 'ɒn', 'lɒŋ', 'tɹeɪn', 'dʒɜːniz', 'ɪn', 'bɹɪtən', 'fɔː', 'wɒn', 'θɪŋ', 'aɪ', 'kan', 'nɛvə', 'meɪk', 'maɪsɛlf', 'kʌmftəbəl', 'ɪn', 'ðə', 'siːt', 'ðɛn', 'ðə', 'ʌðə', 'pasɪndʒəz', 'juːʒuːəli', 'tɔːk', 'səʊ', 'laʊdli', 'ɔː', 'wɜːs', 'stɪl', 'ðeɪ', 'snɔː', 'ɪn', 'ɐdɪʃən', 'ðə', 'kɒnstənt', 'klɪkɪti', 'klɪk', 'ɒv', 'ðə', 'wiːlz', 'ɒn', 'ðə', 'tɹak', 'ɪf', 'aɪ', 'duː', 'manɪdʒ', 'tuː', 'dəʊz', 'ɒf', 'ðə', 'tɪkɪt', 'ɪnspɛktə', 'kʌmz', 'ɐlɒŋ', 'and', 'weɪks', 'miː']	240	91
ENG	Q0	Sorry I didn't come to dinner at the weekend. I was really looking forward to seeing you again. Unfortunately I had a small accident just as I was getting ready to leave. It was when I went down to fetch a bottle of wine from the cellar. I didn't bother to switch the light on, tripped on a loose step in the dark, and broke my ankle.	['sɒɹi', 'aɪ', 'kʌm', 'tuː', 'dɪnə', 'at', 'ðə', 'wiːkɛnd', 'aɪ', 'wɒz', 'ɹiəlɪ', 'lʊkɪŋ', 'fɔːwəd', 'tuː', 'siːɪŋ', 'juː', 'ɐɡɛn', 'ʌnfɔːtʃənətli', 'aɪ', 'had', 'eɪ', 'smɔːl', 'aksɪdənt', 'dʒʌst', 'az', 'aɪ', 'wɒz', 'ɡɛtɪŋ', 'ɹɛdi', 'tuː', 'liːv', 'ɪt', 'wɒz', 'wɛn', 'aɪ', 'wɛnt', 'daʊn', 'tuː', 'fɛtʃ', 'eɪ', 'bɒtəl', 'ɒv', 'waɪn', 'fɹɒm', 'ðə', 'sɛlə', 'aɪ', 'bɒðə', 'tuː', 'swɪtʃ', 'ðə', 'laɪt', 'ɒn', 'tɹɪpt', 'ɒn', 'eɪ', 'luːs', 'stɛp', 'ɪn', 'ðə', 'dɑːk', 'and', 'bɹəʊk', 'maɪ', 'aŋkəl']	217	85
ENG	Q1	There's a short cut over that hill to my house. Some local people say the hill is haunted. No-one likes to pass through those fields after dark. Of course, I don't believe in any of that superstitious nonsense. I just like the picturesque route through the estate.	['eɪ', 'ʃɔːt', 'kʌt', 'əʊvə', 'ðat', 'hɪl', 'tuː', 'maɪ', 'haʊs', 'sʌm', 'ləʊkəl', 'piːpəl', 'seɪ', 'ðə', 'hɪl', 'ɪz', 'hɔːntɪd', 'nəʊ', 'wɒn', 'laɪks', 'tuː', 'pas', 'θɹuː', 'ðəʊz', 'fiːldz', 'aftə', 'dɑːk', 'ɒv', 'kɔːs', 'aɪ', 'bɪliːv', 'ɪn', 'ɛni', 'ɒv', 'ðat', 'suːpəstɪʃəs', 'nɒnsəns', 'aɪ', 'dʒʌst', 'laɪk', 'ðə', 'pɪktʃəɹɛsk', 'ɹuːt', 'θɹuː', 'ðə', 'ɪsteɪt']	166	60
FRA	O1	J’ai un problème avec mon adoucisseur d’eau. Le niveau d’eau est trop élevé et le trop-plein n’arrête pas de goutter. Est-ce que vous pourriez vous arranger pour envoyer un technicien mardi matin s’il vous plaît ? C’est le seul jour possible pour moi cette semaine. Je vous serai reconnaissant de me confirmer ce rendez-vous par écrit.	['ʒi', 'e', 'œ̃', 'pʁɔblɛm', 'avɛk', 'mɔ̃', 'adusisœʁ', 'de', 'o', 'lə', 'nivo', 'de', 'o', 'ɛ', 'tʁo', 'elve', 'e', 'lə', 'tʁo', 'plɛ̃', 'ɛn', 'aʁɛt', 'pa', 'də', 'ɡute', 'ɛ', 'sə', 'kə', 'vu', 'puʁje', 'vu', 'aʁɑ̃ʒe', 'puʁ', 'ɑ̃vwaje', 'œ̃', 'tɛknisjɛ̃', 'maʁdi', 'matɛ̃', 'ɛs', 'il', 'vu', 'plɛ', 'se', 'ɛ', 'lə', 'sœl', 'ʒuʁ', 'pɔsibl', 'puʁ', 'mwa', 'sɛt', 'səmɛn', 'ʒə', 'vu', 'səʁe', 'ʁəkɔnɛsɑ̃', 'də', 'mə', 'kɔ̃fiʁme', 'sə', 'ʁɑ̃de', 'vu', 'paʁ', 'ekʁi']	196	92
FRA	O2	Pouvez-vous me passer le service des réclamations s’il vous plaît ? L’arrivée d’eau à l’extérieur de chez moi n’a pas été réparée correctement et ma cave est inondée. Votre service des eaux a été particulièrement désagréable. Toutes leurs équipes de réparation sont apparemment occupées pendant les deux prochaines semaines. Je suis censé utiliser ma cave comme piscine en attendant ?	['puve', 'vu', 'mə', 'pase', 'lə', 'sɛʁvis', 'de', 'ʁeklamasjɔ̃', 'ɛs', 'il', 'vu', 'plɛ', 'ɛl', 'aʁive', 'de', 'o', 'a', 'ɛl', 'ɛksteʁjœʁ', 'də', 'ʃe', 'mwa', 'ɛn', 'a', 'pa', 'ete', 'ʁepaʁe', 'koʁɛktəmɑ̃', 'e', 'ma', 'kav', 'ɛ', 'inɔ̃de', 'votʁ', 'sɛʁvis', 'de', 'o', 'a', 'ete', 'paʁtikyljɛʁmɑ̃', 'dezaɡʁeabl', 'tut', 'lœʁ', 'ekip', 'də', 'ʁepaʁasjɔ̃', 'sɔ̃', 'apaʁamɑ̃', 'ɔkype', 'pɑ̃dɑ̃', 'le', 'dø', 'pʁoʃɛn', 'səmɛn', 'ʒə', 'syi', 'sɑ̃se', 'ytilize', 'ma', 'kav', 'kɔm', 'pisin', 'ɑ̃', 'atɑ̃dɑ̃']	234	111
FRA	O3	Ici les pompiers municipaux. Nous essayons de localiser l’auteur d’un appel d’urgence qui a raccroché sans donner aucun détail. Il semble qu’il était sur le réseau local. Il nous a appelés sur notre ligne, au numéro 762 584. Merci d’essayer de le localiser immédiatement, car il semblait désespéré.	['isi', 'le', 'pɔ̃pje', 'mynisipo', 'nu', 'esɛjɔ̃', 'də', 'lokalize', 'ɛl', 'otœʁ', 'de', 'œ̃', 'apɛl', 'de', 'yʁʒɑ̃s', 'ki', 'a', 'ʁakʁoʃe', 'sɑ̃', 'dɔne', 'okœ̃', 'detaj', 'il', 'sɑ̃bl', 'k', 'il', 'etɛ', 'syʁ', 'lə', 'ʁezo', 'lokal', 'il', 'nu', 'a', 'aple', 'syʁ', 'notʁ', 'liɲ', 'o', 'nymeʁo', 'sɛtsɑ̃swasɑ̃tdø', 'sɛ̃sɑ̃katʁvɛ̃tkatʁ', 'mɛʁsi', 'de', 'esɛje', 'də', 'lə', 'lokalize', 'imedjatmɑ̃', 'kaʁ', 'il', 'sɑ̃blɛ', 'dezɛspeʁe']	211	98
FRA	O4	Merci de noter une réservation de taxi pour tôt demain matin. Monsieur André, rue des châtaigniers, veut être au terminal 2 de Bordeaux à 6 heures 15. Son avion ne décolle pas avant 7 heures 50, mais il doit régler un problème d’excédent de bagages. Notez ceci comme prioritaire et soyez à l’heure. Il vous attend à 5 heures trente précises.	['mɛʁsi', 'də', 'note', 'yn', 'ʁezɛʁvasjɔ̃', 'də', 'taksi', 'puʁ', 'toː', 'dəmɛ̃', 'matɛ̃', 'məsjø', 'ɑ̃dʁe', 'ʁy', 'de', 'ʃatɛɲe', 'vø', 'ɛtʁ', 'o', 'tɛʁminal', 'dø', 'də', 'bɔʁdo', 'a', 'sis', 'œʁ', 'kɛ̃z', 'sɔ̃', 'avjɔ̃', 'nə', 'dekɔl', 'pa', 'avɑ̃', 'sɛt', 'œʁ', 'sɛ̃kɑ̃t', 'mɛ', 'il', 'dwa', 'ʁeɡle', 'œ̃', 'pʁɔblɛm', 'de', 'ɛksedɑ̃', 'də', 'baɡaʒ', 'note', 'səsi', 'kɔm', 'pʁioʁitɛʁ', 'e', 'swaje', 'a', 'ɛl', 'œʁ', 'il', 'vu', 'atɑ̃', 'a', 'sɛ̃k', 'œʁ', 'tʁɑ̃t', 'pʁesiz']	211	94
FRA	O6	Je cherche à joindre Monsieur et Madame Georges à Toulouse. Ils ont déménagé du soixante- trois rue Pasteur pour s’installer ailleurs à Toulouse. Pouvez-vous me donner leur nouveau numéro s’il vous plaît ? Ils ont déménagé il y a environ 3 mois. Pour autant que je sache, ils ne sont pas sur liste rouge.	['ʒə', 'ʃɛʁʃ', 'a', 'ʒwɛ̃dʁ', 'məsjø', 'e', 'madam', 'ʒɔʁʒ', 'a', 'tuluz', 'il', 'ɔ̃', 'demenaʒe', 'dy', 'swasɑ̃t', 'tʁwa', 'ʁy', 'pastœʁ', 'puʁ', 'ɛs', 'ɛ̃stale', 'ajœʁ', 'a', 'tuluz', 'puve', 'vu', 'mə', 'dɔne', 'lœʁ', 'nuvo', 'nymeʁo', 'ɛs', 'il', 'vu', 'plɛ', 'il', 'ɔ̃', 'demenaʒe', 'il', 'iɡʁɛk', 'a', 'ɑ̃viʁɔ̃', 'tʁwa', 'mwa', 'puʁ', 'otɑ̃', 'kə', 'ʒə', 'saʃ', 'il', 'nə', 'sɔ̃', 'pa', 'syʁ', 'list', 'ʁuʒ']	181	80
FRA	O8	Passez-moi le service après-vente s’il vous plaît. Ma télévision est en panne depuis presque 3 semaines, et j’ai besoin de savoir quand elle sera réparée. Vous êtes venu la chercher le 13 en promettant de la ramener dans la semaine. Je comprends que vous ayez des problèmes d’approvisionnement, mais là c’est trop. Pouvez-vous me donner une date ferme maintenant ?	['pase', 'mwa', 'lə', 'sɛʁvis', 'apʁɛ', 'vɑ̃t', 'ɛs', 'il', 'vu', 'plɛ', 'ma', 'televizjɔ̃', 'ɛ', 'ɑ̃', 'pan', 'dəpyi', 'pʁɛskə', 'tʁwa', 'səmɛn', 'e', 'ʒi', 'e', 'bəzwɛ̃', 'də', 'savwaʁ', 'kɑ̃', 'ɛl', 'səʁa', 'ʁepaʁe', 'vu', 'ɛt', 'vəny', 'la', 'ʃɛʁʃe', 'lə', 'tʁɛz', 'ɑ̃', 'pʁomɛtɑ̃', 'də', 'la', 'ʁamne', 'dɑ̃', 'la', 'səmɛn', 'ʒə', 'kɔ̃pʁɑ̃', 'kə', 'vu', 'ɛje', 'de', 'pʁɔblɛm', 'de', 'apʁovizjɔnmɑ̃', 'mɛ', 'la', 'se', 'ɛ', 'tʁo', 'puve', 'vu', 'mə', 'dɔne', 'yn', 'dat', 'fɛʁm', 'mɛ̃tnɑ̃']	218	97
FRA	O9	Pouvez-vous me donner une liste des restaurants du quartier ? J’habite rue Lagny, à Nation. J’aimerais quelque chose d’un peu plus exotique que d’habitude, peut-être un restaurant polynésien par exemple. Je préférerais que ce ne soit pas végétarien.	['puve', 'vu', 'mə', 'dɔne', 'yn', 'list', 'de', 'ʁɛstoʁɑ̃', 'dy', 'kaʁtje', 'ʒi', 'abit', 'ʁy', 'lanji', 'a', 'nasjɔ̃', 'ʒi', 'ɛmʁɛ', 'kɛlkə', 'ʃɔz', 'de', 'œ̃', 'pø', 'ply', 'ɛɡzotik', 'kə', 'de', 'abityd', 'pø', 'ɛtʁ', 'œ̃', 'ʁɛstoʁɑ̃', 'polinezjɛ̃', 'paʁ', 'ɛɡzɑ̃pl', 'ʒə', 'pʁefeʁʁɛ', 'kə', 'sə', 'nə', 'swa', 'pa', 'veʒetaʁjɛ̃']	154	68
FRA	P0	Ma femme a un planning de vols compliqué le mois prochain. Pourriez-vous me conseiller sur les options les plus économiques s’il vous plaît ? Elle a une série de réunions de 9 heures à 17 heures à Paris, Bruges, Francfort, Rome et Hambourg à la suite l'une de l'autre. Pourriez-vous me suggérer des vols en soirée qui conviennent et des hôtels appropriés ? Elle n’aime pas les grands hôtels anonymes.	['ma', 'fam', 'a', 'œ̃', 'planɪŋ', 'də', 'vɔl', 'kɔ̃plike', 'lə', 'mwa', 'pʁoʃɛ̃', 'puʁje', 'vu', 'mə', 'kɔ̃sɛje', 'syʁ', 'le', 'ɔpsjɔ̃', 'le', 'ply', 'ekonomik', 'ɛs', 'il', 'vu', 'plɛ', 'ɛl', 'a', 'yn', 'seʁi', 'də', 'ʁeynjɔ̃', 'də', 'nœf', 'œʁ', 'a', 'disɛt', 'œʁ', 'a', 'paʁi', 'bʁyʒ', 'fʁɑ̃kfɔʁ', 'ʁɔm', 'e', 'ɑ̃buʁ', 'a', 'la', 'syit', 'də', 'puʁje', 'vu', 'mə', 'syɡʒeʁe', 'de', 'vɔl', 'ɑ̃', 'swaʁe', 'ki', 'kɔ̃vjɛn', 'e', 'de', 'otɛl', 'apʁɔpʁie', 'ɛl', 'ɛn', 'ɛm', 'pa', 'le', 'ɡʁɑ̃', 'otɛl', 'anonim']	220	100
FRA	P1	Nous nous renseignons sur les possibilités de restauration pour un grand meeting. Il faudrait que la nourriture soit livrée sur place de façon à ce qu'on puisse consommer tout de suite. Les locaux ne permettent pas de préparer la nourriture dans une pièce séparée. Nous pensions à un assortiment de sandwichs, viandes, fromages et fruits. Avez-vous des tarifs spéciaux pour les institutions académiques ?	['nu', 'nu', 'ʁɑ̃sɛnjɔ̃', 'syʁ', 'le', 'pɔsibilite', 'də', 'ʁɛstoʁasjɔ̃', 'puʁ', 'œ̃', 'ɡʁɑ̃', 'miːtɪŋ', 'il', 'fodʁɛ', 'kə', 'la', 'nuʁityʁ', 'swa', 'livʁe', 'syʁ', 'plas', 'də', 'fasɔ̃', 'a', 'sə', 'pyis', 'kɔ̃sɔme', 'tu', 'də', 'syit', 'le', 'loko', 'nə', 'pɛʁmɛt', 'pa', 'də', 'pʁepaʁe', 'la', 'nuʁityʁ', 'dɑ̃', 'yn', 'pjɛs', 'sepaʁe', 'nu', 'pɑ̃sjɔ̃', 'a', 'œ̃', 'asɔʁtimɑ̃', 'də', 'sɑ̃dwitʃ', 'vjɑ̃d', 'fʁomaʒ', 'e', 'fʁyi', 'ave', 'vu', 'de', 'taʁif', 'spesjo', 'puʁ', 'le', 'ɛ̃stitysjɔ̃', 'akademik']	238	106
